source,target
NRP1,PLXND1
NRP1,SEMA4A
NRP1,PLXNB1
NRP1,VEGFC
NRP1,L1CAM
NRP1,PGF
NRP1,NRP2
NRP1,GIPC1
NRP1,PLXNA3
NRP1,PLXNA2
NRP2,SEMA6A
NRP2,FLT4
NRP2,KDR
NRP2,SEMA3C
NRP2,SEMA3A
NRP2,FLT1
NRP2,VEGFD
NRP2,PLXND1
NRP2,NRCAM
NRP2,PGF
NRP2,SEMA3B
NRP2,PLXNA2
NRP2,VEGFC
NRP2,PLXNA3
PLXNA3,RAC2
PLXNA3,SEMA6A
PLXNA3,SEMA3A
PLXNA3,RAC3
PLXNA3,RND1
PLXNA3,RHOD
PLXNA3,FES
PLXNA3,FYN
PLXNA3,SEMA3B
RNF5,STUB1
RNF5,DERL1
RNF5,AMFR
RNF5,UBE2J1
CANX,EBI3
CANX,RPN2
CANX,SEC61A1
CANX,SSR1
CANX,GANAB
CANX,MOGS
CANX,TOMM20
CANX,PDIA4
CANX,HSP90B1
CANX,OS9
CANX,PDIA3
CANX,HSPA5
CANX,PPIB
CANX,UGGT1
CANX,P4HB
CANX,PRKCSH
CANX,CALR
CANX,VCP
CANX,TAPBP
CANX,PACS2
CANX,SEL1L
CANX,EDEM1
CANX,BCAP31
YWHAB,TSC2
YWHAB,CDC25B
YWHAB,YWHAH
YWHAB,MAP2K2
YWHAB,YWHAE
YWHAB,ARAF
YWHAB,MAP2K1
YWHAB,CTNNA1
YWHAB,MLXIPL
YWHAB,CDC25C
YWHAB,FOXO3
YWHAB,ESR1
YWHAB,RAF1
YWHAB,ACTB
YWHAB,YWHAQ
YWHAB,YWHAZ
YWHAB,FOXO1
YWHAB,CSNK1E
YWHAB,BRAF
YWHAB,CSNK1D
YWHAB,BAD
YWHAB,CTNNA2
YWHAB,MARK3
YWHAB,WWTR1
YWHAB,YAP1
DERL1,DERL2
DERL1,SEC61A1
DERL1,OS9
DERL1,RNF139
DERL1,UBE2J1
DERL1,MARCHF6
DERL1,FAF2
DERL1,NGLY1
DERL1,HSPA5
DERL1,UFD1
DERL1,NPLOC4
DERL1,SEL1L
DERL1,VCP
DERL1,UBXN1
DERL1,SOD1
DERL1,NSFL1C
DERL1,AMFR
TJP1,CLDN11
TJP1,VCL
